Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,India,No,Bachelors degree,Developer,4,540000,Yearly,7556,48,25,Man,,540000
part-time,Germany,No,Bachelors degree,full-stack,20,4000,Monthly,54996,35,47,Man,White,48000
full-time,Argentina,No,No degree,Developer,10,53500,Monthly,17280,45,,Man,Hispanic,642000
full-time,United States,No,Bachelors degree,Developer,7,135000,Yearly,135000,40,28,Woman,Black,135000
full-time,Romania,Yes,Bachelors degree,Developer,16,4000,Monthly,54996,160,34,Man,White,48000
full-time,Germany,No,Masters degree ,Developer,17,70000,Monthly,962424,40,34,Man,White,840000
full-time,United States,No,Bachelors degree,full-stack,8,80000,Monthly,960000,40,25,Man,Asian,960000
full-time,Austria,No,Bachelors degree,full-stack,16,3436,Monthly,47244,40,29,Man,White,41232
full-time,South Africa,No,,Designer,24,50000,Yearly,65424,40,35,Man,,50000
full-time,Iran,No,Bachelors degree,full-stack,3,32000000,Monthly,9120,50,32,Woman,Middle Eastern,384000000
full-time,United Kingdom,No,Bachelors degree,full-stack,23,48000,Yearly,62807,38,47,Man,White,48000
full-time,United States,No,Bachelors degree,Developer,7,137000,Weekly,2000000,45,30,Man,White,7124000
full-time,Germany,No,Masters degree ,Developer,8,68000,Yearly,77911,44,31,Man,White,68000
full-time,India,No,Bachelors degree,Academic researcher,7,12000,Monthly,2016,45,24,Man,Asian,144000
full-time,India,No,Bachelors degree,Developer,15,,Monthly,,40,31,Man,Asian,
full-time,Australia,Yes,No degree,Database administrator,5,50000,Yearly,36265,45,22,Man,White,50000
full-time,United States,No,Bachelors degree,Database administrator,6,70000,Yearly,70000,40,35,Man,White,70000
full-time,Argentina,No,Masters degree ,Developer,12,7000,Monthly,84000,40,29,Woman,Hispanic,84000
full-time,Hungary,No,Bachelors degree,Developer,11,13000000,Yearly,46913,40,30,Man,White,13000000
full-time,Latvia,No,Masters degree ,Data scientist or machine learning specialist,5,35000,Yearly,40101,40,29,Man,White,35000
full-time,United Kingdom,Yes,Masters degree ,Data or business analyst,10,50000,Yearly,65424,42,28,Man,Asian,50000
full-time,Hong Kong (S.A.R.),No,Bachelors degree,Data or business analyst,6,480000,Yearly,61172,40,28,Man,Asian,480000
full-time,United Arab Emirates,No,Masters degree ,Developer,8,7500,Monthly,24504,45,27,Man,,90000
full-time,United States,No,Bachelors degree,Database administrator,10,90000,Yearly,90000,40,27,Man,White,90000
full-time,Poland,Yes,Masters degree ,Data scientist or machine learning specialist,6,9000,Monthly,28860,40,28,Man,White,108000
full-time,Poland,No,Masters degree ,Developer,11,4000,Monthly,12828,40,29,Man,White,48000
full-time,France,Yes,Masters degree ,Developer,20,39000,Yearly,44684,37,40,Man,White,39000
full-time,Portugal,No,Bachelors degree,Developer,10,3700,Monthly,50868,30,35,Man,White,44400
full-time,Canada,No,No degree,Data scientist or machine learning specialist,35,95000,Yearly,72522,40,45,Man,White,95000
full-time,Hong Kong (S.A.R.),No,Masters degree ,Developer,20,450000,Yearly,57349,45,34,Man,Asian,450000
full-time,United States,No,Bachelors degree,full-stack,9,112800,Yearly,112800,40,33,Man,White,112800
full-time,United States,No,Associate degree,Developer,17,117800,Yearly,117800,40,30,Man,,117800
part-time,Netherlands,Yes,,Developer,4,1450,Monthly,19932,32,30,Man,White,17400
full-time,United Arab Emirates,No,Bachelors degree,Developer,26,180000,Yearly,49006,40,41,Man,Middle Eastern,180000
full-time,Bulgaria,No,Bachelors degree,Developer,6,100000,Yearly,58501,40,35,Man,White,100000
full-time,Netherlands,No,Bachelors degree,Developer,15,4000,Monthly,54996,36,36,Man,White,48000
full-time,United States,No,Bachelors degree,full-stack,20,110000,Yearly,110000,45,39,Man,White,110000
full-time,India,Yes,Bachelors degree,Developer,5,,Monthly,,45,,Man,,
full-time,Russian Federation,Yes,Bachelors degree,Developer,6,35000,Monthly,6420,40,23,Woman,White,420000
full-time,United States,No,Bachelors degree,Developer,14,233000,Yearly,233000,40,28,Man,White,233000
full-time,United States,No,Masters degree ,Developer,6,,,,40,33,Woman,White,
full-time,Nicaragua,No,Bachelors degree,Developer,11,80000,Yearly,80000,34,31,Man,Hispanic,80000
full-time,United States,No,Bachelors degree,full-stack,14,120000,Yearly,120000,45,32,Man,White,120000
part-time,Sweden,No,No education,Developer,27,41400,Monthly,54876,37,45,Man,White,496800
full-time,India,Yes,Masters degree ,Data or business analyst,12,2000000,Yearly,27986,98,31,Man,,2000000
full-time,Canada,No,Associate degree,full-stack,13,86000,Yearly,65651,40,32,Man,White,86000
full-time,Sweden,No,No degree,Designer,3,490000,Monthly,649536,40,35,Man,White,5880000
full-time,United States,No,Bachelors degree,full-stack,5,88000,Yearly,88000,45,33,Man,White,88000
full-time,Austria,No,Masters degree ,Developer,18,4200,Monthly,57744,40,33,Man,White,50400
