Employment,Country,Student,EdLevel,DevType,YearsCode,CompTotal,CompFreq,ConvertedComp,WorkWeekHrs,Age,Gender,Ethnicity,NormalizedAnnualCompensation
full-time,Ukraine,No,No degree,Designer,18,3000,Monthly,36000,50,35,Man,White,36000
part-time,Spain,Yes,Professional degree,Designer,3,933,Monthly,12828,25,23,Man,White,11196
full-time,United States,No,Bachelors degree,,35,112000,Yearly,112000,45,61,Man,White,112000
full-time,Italy,Yes,No degree,Database administrator,7,24000,Yearly,27498,40,29,Man,White,24000
full-time,Brazil,Yes,Bachelors degree,Developer,3,,Monthly,,40,29,Man,White,
full-time,Bangladesh,No,Bachelors degree,Developer,8,1300000,Yearly,15530,42,26,Man,Asian,1300000
full-time,Germany,No,Masters degree ,Developer,23,73000,Yearly,83640,43,40,Man,White,73000
full-time,New Zealand,No,No degree,Developer,32,97000,Monthly,802812,50,42,Man,White,1164000
full-time,United States,No,Other doctoral degree ,Developer,38,120000,Yearly,120000,45,,Man,White,120000
full-time,Russian Federation,No,Secondary school,Designer,6,2600,Monthly,35748,40,31,Man,White,31200
full-time,United States,No,Masters degree ,Database administrator,9,110000,Yearly,110000,40,26,Man,White,110000
full-time,United Kingdom,No,Bachelors degree,Developer,7,32000,Yearly,41871,38,25,Man,White,32000
full-time,France,No,Masters degree ,Database administrator,7,3100,Monthly,42624,36,25,Man,White,37200
full-time,Netherlands,No,No education,Database administrator,18,52000,Yearly,59579,45,31,Man,White,52000
full-time,United Kingdom,No,No degree,Developer,38,76500,Yearly,100098,40,53,Man,White,76500
full-time,United Kingdom,No,Masters degree ,Data scientist or machine learning specialist,4,50000,Yearly,65424,38,26,Man,Asian,50000
full-time,Australia,No,Bachelors degree,Database administrator,6,40000,Yearly,29012,40,26,Man,Asian,40000
full-time,Pakistan,No,Bachelors degree,Academic researcher,4,52500,Monthly,4548,44,28,Man,Asian,630000
full-time,Italy,No,No degree,DevOps specialist,7,25000,Yearly,28644,40,30,Man,White,25000
full-time,United States,No,Bachelors degree,Designer,27,108000,Yearly,108000,40,41,Man,White,108000
full-time,United States,No,Bachelors degree,Developer,30,,Yearly,,40,46,Man,White,
full-time,Russian Federation,No,Masters degree ,Developer,8,240000,Monthly,44004,40,24,Man,White,2880000
full-time,Poland,No,Bachelors degree,Developer,10,20000,Monthly,64128,40,30,Man,White,240000
full-time,Lithuania,No,Masters degree ,Developer,4,2200,Monthly,30252,9,31,Man,White,26400
full-time,India,Yes,Masters degree ,Designer,5,500000,Yearly,6996,45,24,Man,Asian,500000
full-time,India,No,Masters degree ,full-stack,3,150000,Yearly,2099,42,27,Man,Asian,150000
full-time,United States,No,Bachelors degree,Engineering manager,12,130000,Yearly,130000,40,37,Man,White,130000
full-time,Sweden,No,No degree,full-stack,30,62000,Monthly,82188,42,,Man,White,744000
full-time,United States,No,Bachelors degree,Developer,2,35000,Yearly,35000,35,26,Man,White,35000
full-time,United States,No,Bachelors degree,Designer,13,70000,Yearly,70000,40,33,Man,White,70000
full-time,United States,No,Bachelors degree,Data or business analyst,17,111000,Weekly,2000000,42,30,Man,White,5772000
full-time,India,No,Bachelors degree,full-stack,6,1400000,Yearly,19590,50,24,Man,Asian,1400000
full-time,India,Yes,Bachelors degree,full-stack,6,1500000,Monthly,251868,35,23,Man,Asian,18000000
full-time,United Kingdom,No,Bachelors degree,Developer,7,23000,Yearly,30095,35,23,Man,White,23000
full-time,United Kingdom,No,Bachelors degree,Developer,10,80000,Yearly,104678,37.5,29,Man,White,80000
full-time,Belgium,No,Bachelors degree,Data or business analyst,13,2500,Monthly,34368,38,31,Man,White,30000
full-time,Germany,No,Secondary school,Designer,17,40980,Yearly,46953,40,27,Man,White,40980
full-time,United States,No,Secondary school,full-stack,15,70000,Weekly,2000000,35,31,Man,Hispanic,3640000
full-time,Austria,Yes,Bachelors degree,Academic researcher,20,,Monthly,,40,35,Man,White,
full-time,China,Yes,Bachelors degree,Developer,5,10000,Monthly,17796,40,26,Man,Asian,120000
full-time,United States,Yes,Bachelors degree,Academic researcher,7,30000,Yearly,30000,60,20,Man,White,30000
full-time,United States,No,Bachelors degree,Developer,35,110000,Yearly,110000,20,50,Man,White,110000
full-time,Czech Republic,No,Masters degree ,Developer,6,46000,Monthly,24588,35,24,Man,White,552000
full-time,United States,No,Masters degree ,Developer,9,105000,Yearly,105000,65,28,Man,White,105000
full-time,United Kingdom,No,Bachelors degree,Developer,25,51500,Yearly,67386,35,37,Man,White,51500
full-time,United States,No,Masters degree ,Developer,13,,Weekly,,40,,Man,White,
full-time,Italy,No,No degree,Database administrator,33,4000,Monthly,54996,50,43,Man,White,48000
full-time,United Kingdom,No,Masters degree ,Developer,18,80000,Yearly,104678,37.5,37,Man,White,80000
full-time,United Kingdom,No,Bachelors degree,Developer,15,90000,Yearly,117763,40,33,Man,White,90000
full-time,Australia,No,Bachelors degree,Designer,9,86000,Yearly,62376,37.5,27,Man,White,86000
full-time,India,No,Bachelors degree,Database administrator,8,1200000,Yearly,16791,55,24,Man,Asian,1200000
full-time,United States,No,Bachelors degree,Developer,10,90000,Yearly,90000,40,27,Man,White,90000
full-time,United States,No,Bachelors degree,full-stack,12,122247,Yearly,122247,40,35,Man,White,122247
full-time,India,Yes,Bachelors degree,Developer,7,2300000,Yearly,32183,35,26,Woman,Asian,2300000
full-time,South Africa,No,Bachelors degree,Developer,14,564000,Yearly,42331,32,30,Man,White,564000
full-time,India,No,Bachelors degree,Developer,7,850000,Yearly,11894,40,24,Man,Asian,850000
part-time,United States,No,Bachelors degree,full-stack,4,273,Weekly,13650,24,27,Man,Hispanic,14196
full-time,Pakistan,Yes,Masters degree ,Academic researcher,4,90000,Monthly,7800,45,32,Man,Asian,1080000
full-time,India,No,Bachelors degree,Developer,11,125000,Monthly,20988,35,32,Man,Asian,1500000
full-time,Sri Lanka,No,Bachelors degree,Academic researcher,8,150000,Monthly,10188,40,25,Man,Asian,1800000
full-time,Ireland,No,Masters degree ,Data or business analyst,31,130000,Yearly,148947,35,41,Man,Hispanic,130000
full-time,Belgium,No,Bachelors degree,Data or business analyst,15,3800,Monthly,52248,40,37,Man,White,45600
full-time,India,No,Bachelors degree,Developer,5,540000,Yearly,7556,50,28,Man,Asian,540000
full-time,Argentina,No,No degree,Developer,7,60000,Monthly,19380,40,26,Man,Hispanic,720000
full-time,United States,Yes,Bachelors degree,Academic researcher,16,1320,Weekly,66000,33,27,Non-binary,White,68640
full-time,United States,No,Secondary school,Designer,21,122000,Yearly,122000,40,63,Man,White,122000
full-time,India,No,Bachelors degree,Developer,12,1500000,Yearly,20989,40,25,Man,Asian,1500000
full-time,Other Country (Not Listed Above),No,Masters degree ,Database administrator,11,35000,Yearly,40101,40,31,Man,White,35000
full-time,United States,No,Bachelors degree,full-stack,15,150000,Yearly,150000,50,38,Man,White,150000
full-time,France,No,Masters degree ,full-stack,3,50000,Yearly,57287,38,27,Man,Middle Eastern,50000
full-time,United Kingdom,Yes,Bachelors degree,full-stack,8,18300,Yearly,23945,37.5,23,Man,White,18300
full-time,United States,No,No degree,Data or business analyst,20,175000,Yearly,175000,50,34,Man,White,175000
full-time,France,No,Masters degree ,Developer,10,33000,Yearly,37810,38,29,Man,White,33000
full-time,Spain,No,Masters degree ,Developer,20,35000,Yearly,40101,40,39,Man,White,35000
full-time,Pakistan,No,Bachelors degree,Developer,7,,Monthly,,40,26,Man,Asian,
full-time,India,Yes,Masters degree ,Academic researcher,16,2000000,Yearly,27986,55,35,Man,Asian,2000000
full-time,United States,No,Bachelors degree,Developer,18,118000,Yearly,118000,40,36,Man,White,118000
full-time,Ukraine,Yes,Bachelors degree,full-stack,3,12600,Monthly,5448,40,19,Woman,,151200
full-time,Germany,No,Masters degree ,Database administrator,18,63000,Yearly,72182,40,30,Man,White,63000
part-time,France,Yes,No degree,Designer,5,1100,Monthly,15120,35,23,,Multiracial,13200
full-time,Czech Republic,Yes,Masters degree ,Developer,18,200000,Monthly,106908,40,33,Man,White,2400000
full-time,United States,No,Bachelors degree,Data scientist or machine learning specialist,12,105000,Weekly,2000000,40,28,Man,White,5460000
full-time,Canada,No,Bachelors degree,Developer,8,70000,Yearly,53437,45,24,Man,,70000
full-time,Denmark,No,Masters degree ,Developer,20,65000,Monthly,119700,38,37,Man,White,780000
full-time,Czech Republic,No,Bachelors degree,Developer,12,52000,Monthly,27792,40,34,Man,White,624000
full-time,United States,No,Bachelors degree,full-stack,31,106000,Yearly,106000,40,40,Man,White,106000
full-time,Italy,Yes,No degree,Developer,4,1500,Monthly,20628,40,27,Man,Multiracial,18000
full-time,United Kingdom,No,Bachelors degree,full-stack,15,90000,Monthly,1000000,37,29,Man,White,1080000
full-time,United States,No,Masters degree ,full-stack,2,55000,Yearly,55000,40,34,Man,White,55000
full-time,India,No,Bachelors degree,,18,2200000,Yearly,30784,50,35,Man,Asian,2200000
full-time,France,No,Masters degree ,Developer,12,48000,Yearly,54996,40,31,Man,White,48000
full-time,United Kingdom,No,Masters degree ,full-stack,8,56200,Yearly,73536,40,24,Man,White,56200
full-time,United States,No,Masters degree ,Developer,20,200000,Monthly,2000000,40,46,Man,Asian,2400000
full-time,United States,No,Bachelors degree,Developer,12,188000,Yearly,188000,40,22,Man,White,188000
full-time,Italy,No,Other doctoral degree ,full-stack,6,63000,Yearly,72182,52,35,Man,White,63000
full-time,India,No,Masters degree ,Developer,10,2650000,Yearly,37081,40,,Man,,2650000
full-time,Ukraine,No,No degree,Database administrator,7,29500,Monthly,12768,40,35,Man,White,354000
full-time,United States,No,Bachelors degree,Developer,44,150000,Yearly,150000,40,60,Man,White,150000
full-time,Italy,No,Secondary school,full-stack,18,2480,Monthly,34092,40,34,Man,White,29760
full-time,France,No,Masters degree ,Engineering manager,10,52000,Yearly,59579,45,30,Man,White,52000
full-time,United States,No,Bachelors degree,Developer,5,50000,Yearly,50000,45,25,Man,White,50000
part-time,Finland,Yes,Secondary school,full-stack,5,1800,Monthly,24744,20,24,Man,White,21600
full-time,United States,No,Masters degree ,Developer,1,95700,Yearly,95700,40,38,Woman,Black,95700
full-time,United Kingdom,No,No degree,full-stack,35,50000,Yearly,65424,37.5,42,Man,White,50000
full-time,Canada,No,Associate degree,Developer,Less than 1 year,115800,Yearly,88400,30,31,Man,Asian,115800
full-time,United States,No,Bachelors degree,full-stack,17,80000,Yearly,80000,40,36,Man,White,80000
full-time,Belarus,No,Bachelors degree,Developer,3,1200,Monthly,6672,40,31,Man,White,14400
full-time,Germany,No,Bachelors degree,Database administrator,15,5600,Monthly,76992,41,34,Man,White,67200
full-time,United States,No,Bachelors degree,Developer,18,102000,Yearly,102000,40,30,Man,White,102000
full-time,India,Yes,Bachelors degree,Developer,8,,Monthly,,45,27,Man,,
full-time,United States,No,Professional degree,Developer,4,95000,Monthly,1140000,40,38,Man,Asian,1140000
full-time,South Korea,Yes,No degree,Database administrator,24,45000000,Yearly,40211,50,35,Man,Asian,45000000
full-time,Portugal,No,Bachelors degree,Developer,14,22000,Yearly,25206,40,32,Man,White,22000
full-time,United States,No,Masters degree ,Developer,5,80000,Yearly,80000,35,26,Man,Asian,80000
full-time,Austria,No,No degree,Developer,6,3000,Monthly,41244,35,19,Man,White,36000
full-time,Spain,No,Masters degree ,Developer,12,50000,Yearly,57287,45,29,Man,Hispanic,50000
full-time,United States,No,No degree,Designer,7,128000,Yearly,128000,40,33,Woman,White,128000
full-time,Brazil,No,Bachelors degree,Data or business analyst,5,3500,Monthly,11472,12,24,Man,Hispanic,42000
full-time,India,No,Bachelors degree,Developer,3,35000,Monthly,5880,62,24,Man,Asian,420000
full-time,Sweden,No,Masters degree ,Data scientist or machine learning specialist,18,40000,Monthly,53028,70,28,Man,White,480000
full-time,India,No,Bachelors degree,Developer,8,1006000,Yearly,14077,45,28,Man,Asian,1006000
full-time,Malaysia,No,Bachelors degree,full-stack,9,63000,Yearly,15379,45,26,Man,,63000
full-time,United States,No,Bachelors degree,Database administrator,14,110000,Yearly,110000,50,32,Man,White,110000
full-time,Germany,No,Bachelors degree,Developer,12,48000,Yearly,54996,40,37,Man,Hispanic,48000
full-time,South Africa,No,Bachelors degree,Developer,7,33906,Monthly,30540,40,25,Man,White,406872
full-time,United States,No,Bachelors degree,Developer,15,180000,Yearly,180000,40,38,Man,,180000
full-time,Australia,No,No degree,Data or business analyst,16,121000,Monthly,1000000,42,35,Non-binary,White,1452000
full-time,Spain,No,Other doctoral degree ,Academic researcher,14,45000,Yearly,51559,40,34,Man,,45000
full-time,Bulgaria,No,Masters degree ,full-stack,3,2500,Monthly,17556,40,32,Man,White,30000
full-time,Colombia,No,Masters degree ,Developer,8,75000000,Monthly,291264,40,31,Woman,White,900000000
full-time,United Kingdom,No,Associate degree,full-stack,9,51000,Yearly,66732,37.5,26,Man,Black,51000
full-time,Romania,No,No degree,Developer,9,11000,Monthly,31812,40,,Man,White,132000
full-time,United States,No,Masters degree ,Database administrator,12,70000,Yearly,70000,50,31,Man,White,70000
full-time,United States,No,Bachelors degree,Developer,6,48000,Yearly,48000,35,26,Man,White,48000
full-time,United States,No,Bachelors degree,Developer,10,165000,Yearly,165000,40,30,Man,White,165000
full-time,United States,No,Bachelors degree,Data or business analyst,19,110000,Yearly,110000,50,34,Man,White,110000
full-time,United States,No,Bachelors degree,Developer,18,125000,Yearly,125000,45,35,Man,White,125000
full-time,United States,No,Masters degree ,Developer,11,117000,Yearly,117000,40,38,Man,White,117000
full-time,Italy,No,Bachelors degree,Developer,18,50000,Yearly,57287,40,37,Man,White,50000
full-time,United Kingdom,No,Bachelors degree,Developer,19,36000,Yearly,47105,40,32,Woman,White,36000
full-time,United States,Yes,Bachelors degree,Database administrator,11,,Weekly,,43,36,Man,White,
full-time,United States,No,Associate degree,full-stack,24,110000,Yearly,110000,45,43,Man,White,110000
full-time,United Kingdom,No,Bachelors degree,Database administrator,11,,,,40,29,Man,White,
full-time,United States,No,Bachelors degree,Academic researcher,15,173400,Yearly,173400,60,33,Man,Asian,173400
full-time,Turkey,No,Bachelors degree,Developer,6,,Monthly,,45,25,Man,Middle Eastern,
full-time,Turkey,No,No degree,Developer,7,5500,Monthly,12672,50,21,Man,Middle Eastern,66000
full-time,United States,No,No degree,full-stack,7,92000,Monthly,1104000,40,28,Man,White,1104000
full-time,United States,No,Masters degree ,Developer,6,80000,Yearly,80000,40,25,Man,White,80000
full-time,Switzerland,No,Bachelors degree,Developer,25,8800,Monthly,106092,45,40,Man,White,105600
full-time,United States,No,Masters degree ,full-stack,6,104000,Yearly,104000,45,28,Man,White,104000
full-time,Denmark,No,Masters degree ,Developer,13,44000,Monthly,81024,37,29,Woman,White,528000
full-time,Russian Federation,No,Masters degree ,Developer,12,2638248,Yearly,40306,,32,Man,Middle Eastern,2638248
full-time,United Kingdom,No,No degree,Developer,10,50000,Yearly,65424,40,27,Man,Hispanic,50000
full-time,Spain,No,No degree,Designer,7,35000,Yearly,40101,40,31,Man,White,35000
full-time,United States,No,Bachelors degree,Data or business analyst,3,85000,Yearly,85000,35,29,Man,White,85000
full-time,United States,No,No degree,Developer,30,184000,Yearly,184000,50,44,Man,White,184000
full-time,United States,No,No degree,Developer,6,126126,Yearly,126126,40,26,Woman,White,126126
full-time,Estonia,No,Masters degree ,full-stack,6,2800,Monthly,38496,35,27,Man,Middle Eastern,33600
full-time,New Zealand,No,Secondary school,Database administrator,17,85000,Yearly,58624,32,28,Man,Biracial,85000
full-time,Denmark,No,Masters degree ,Developer,12,50000,Monthly,92076,38,29,Man,White,600000
full-time,Spain,No,No degree,Developer,11,70000,Yearly,80202,37,25,Man,White,70000
full-time,United States,No,No degree,Developer,18,126000,Yearly,126000,55,28,Man,White,126000
full-time,Netherlands,No,,Developer,5,24000,Yearly,27498,40,23,Man,White,24000
full-time,Norway,No,Masters degree ,Developer,10,540000,Yearly,63987,37.5,31,Man,White,540000
full-time,United States,No,Masters degree ,Developer,11,360000,Yearly,360000,50,35,Man,White,360000
full-time,United Kingdom,No,Masters degree ,full-stack,30,120000,Yearly,157017,45,42,Man,White,120000
full-time,South Korea,No,Bachelors degree,Developer,5,2000000,Monthly,21444,40,25,Man,White,24000000
full-time,Turkey,Yes,No degree,Database administrator,11,6750,Monthly,15552,45,27,Man,Middle Eastern,81000
full-time,India,Yes,Bachelors degree,Data or business analyst,6,1800000,Yearly,25187,44,22,Man,Asian,1800000
full-time,United States,No,Bachelors degree,Developer,24,150000,Yearly,150000,40,42,Man,White,150000
full-time,Australia,No,Bachelors degree,Developer,15,70000,Weekly,1000000,36,37,Man,White,3640000
full-time,United Kingdom,No,Bachelors degree,Developer,5,30000,Yearly,39254,40,28,Man,Hispanic,30000
full-time,United Kingdom,No,Bachelors degree,Designer,19,54000,Yearly,70658,40,33,Man,White,54000
full-time,Bangladesh,No,Masters degree ,Data or business analyst,11,840000,Yearly,10035,48,32,Man,,840000
full-time,United States,No,Bachelors degree,full-stack,6,68000,Yearly,68000,40,26,Man,White,68000
full-time,Latvia,Yes,Bachelors degree,Developer,5,1300,Monthly,17868,45,22,Man,Middle Eastern,15600
full-time,Spain,No,Professional degree,Developer,16,40000,Yearly,45830,40,28,Man,White,40000
full-time,Romania,No,Bachelors degree,Developer,15,9231,Monthly,26688,40,30,Man,White,110772
full-time,United States,No,Bachelors degree,full-stack,6,108000,Yearly,108000,40,27,Man,Black,108000
full-time,United Kingdom,Yes,Secondary school,full-stack,9,22000,Yearly,28786,35,18,Man,White,22000
full-time,United States,No,Bachelors degree,Academic researcher,10,95000,Yearly,95000,35,32,Man,Hispanic,95000
full-time,India,No,Masters degree ,Developer,12,80000,Monthly,13428,40,38,Man,Asian,960000
full-time,Zimbabwe,No,Bachelors degree,Data or business analyst,8,,Monthly,,,28,Man,Black,
full-time,France,No,Masters degree ,Developer,10,2100,Monthly,28872,38,24,Man,,25200
full-time,Germany,No,No degree,Designer,18,64000,Monthly,879936,40,41,Man,White,768000
full-time,United States,No,Bachelors degree,Developer,8,70000,Weekly,2000000,45,23,Man,White,3640000
full-time,United States,No,Bachelors degree,Database administrator,6,120000,Yearly,120000,35,31,Man,White,120000
full-time,South Africa,No,Bachelors degree,Designer,13,78000,Monthly,70248,40,31,Man,White,936000
full-time,United States,No,Bachelors degree,full-stack,19,151000,Yearly,151000,40,27,Man,White,151000
full-time,United States,No,Bachelors degree,Database administrator,8,48000,Yearly,48000,40,22,Man,White,48000
full-time,United States,No,Bachelors degree,full-stack,4,125000,Yearly,125000,40,29,Woman,White,125000
full-time,France,No,Masters degree ,Developer,13,2700,Monthly,37128,37.5,36,Man,White,32400
full-time,Rwanda,No,Bachelors degree,Developer,9,300000,Monthly,4068,9,27,Man,Black,3600000
full-time,Slovenia,No,Masters degree ,Developer,12,44000,Monthly,604956,40,29,Man,White,528000
full-time,Brazil,Yes,Bachelors degree,full-stack,11,75000,Yearly,20489,40,26,Man,Black,75000
full-time,Brazil,Yes,Bachelors degree,Academic researcher,8,2500,Monthly,8196,40,22,Man,White,30000
full-time,India,Yes,Bachelors degree,Developer,13,,Monthly,,40,34,Man,Asian,
full-time,France,No,Other doctoral degree ,Developer,13,68500,Monthly,941808,40,31,Man,White,822000
full-time,United States,No,Bachelors degree,Data scientist or machine learning specialist,5,90000,Weekly,2000000,40,24,Man,White,4680000
full-time,Finland,No,Bachelors degree,Developer,18,53800,Yearly,61641,37,34,Man,White,53800
full-time,Pakistan,No,Bachelors degree,Developer,8,110000,Monthly,9540,60,24,Man,,1320000
full-time,El Salvador,No,Masters degree ,full-stack,12,1600,Monthly,19200,8,30,Man,Hispanic,19200
full-time,Bangladesh,No,Masters degree ,Developer,4,8000,Monthly,96000,35,35,Man,White,96000
full-time,France,No,Masters degree ,Developer,20,55000,Yearly,63016,38,34,Man,,55000
full-time,United States,No,Secondary school,Developer,20,130000,Yearly,130000,40,35,Man,Middle Eastern,130000
full-time,Switzerland,No,Masters degree ,Academic researcher,12,94000,Yearly,94435,42,29,Man,White,94000
full-time,United Kingdom,No,Bachelors degree,Data or business analyst,6,80000,Yearly,104678,40,24,Man,White,80000
full-time,United States,No,Bachelors degree,full-stack,7,85000,Yearly,85000,45,29,Man,Black,85000
full-time,Austria,No,Masters degree ,Developer,25,54000,Yearly,61870,385,46,Man,Hispanic,54000
full-time,Germany,No,Masters degree ,Developer,24,60000,Yearly,68745,40,37,Man,White,60000
full-time,Germany,No,Bachelors degree,Developer,10,54000,Yearly,61870,40,34,Man,White,54000
full-time,Canada,No,Bachelors degree,Developer,10,68000,Yearly,51910,40,27,Man,White,68000
full-time,Brazil,No,No degree,full-stack,8,1800,Monthly,5904,44,25,Man,White,21600
full-time,United States,No,Bachelors degree,Data or business analyst,25,155000,Yearly,155000,40,45,Man,White,155000
full-time,India,No,Bachelors degree,Developer,3,30000,Monthly,5040,50,24,Man,,360000
full-time,Pakistan,No,Bachelors degree,full-stack,12,137500,Monthly,11916,50,34,Man,Asian,1650000
full-time,Portugal,No,,full-stack,20,1017,Monthly,13980,45,39,Man,Multiracial,12204
full-time,Germany,No,Masters degree ,Data or business analyst,2,75000,Yearly,85931,40,25,Woman,White,75000
full-time,Finland,No,Secondary school,Developer,9,5400,Monthly,74244,37.5,28,Man,White,64800
full-time,United States,Yes,Bachelors degree,full-stack,19,125000,Yearly,125000,40,48,Man,White,125000
full-time,Hungary,No,Associate degree,Developer,2,390000,Monthly,16884,50,27,Man,White,4680000
full-time,India,No,Masters degree ,Developer,9,555000,Yearly,7766,45,24,Man,Middle Eastern,555000
full-time,Spain,No,Bachelors degree,Developer,11,52000,Yearly,59579,40,30,Man,White,52000
full-time,United States,No,Masters degree ,Developer,13,,Monthly,,50,35,Man,White,
full-time,United States,No,Bachelors degree,Database administrator,10,74000,Yearly,74000,37.5,26,Man,White,74000
full-time,United Kingdom,No,No degree,full-stack,8,32500,Monthly,510300,36.5,23,Man,White,390000
full-time,United States,No,Bachelors degree,Developer,20,128000,Weekly,2000000,50,40,Man,White,6656000
full-time,India,No,Bachelors degree,Data scientist or machine learning specialist,8,1550000,Yearly,21689,40,22,Man,,1550000
full-time,France,No,Bachelors degree,full-stack,5,31500,Yearly,36091,40,25,Man,White,31500
full-time,United States,No,Bachelors degree,Designer,5,58000,Yearly,58000,41,27,Man,White,58000
full-time,United States,No,Masters degree ,Developer,37,135000,Yearly,135000,46,53,Man,White,135000
full-time,China,No,Masters degree ,Developer,14,500000,Monthly,889560,40,37,Man,Asian,6000000
full-time,United Kingdom,No,Bachelors degree,Data or business analyst,2,30000,Yearly,39254,40,33,Man,White,30000
full-time,Russian Federation,No,No degree,Developer,4,170000,Monthly,31164,40,26,Man,White,2040000
full-time,United States,No,Bachelors degree,full-stack,6,103000,Yearly,103000,41,24,,White,103000
full-time,Iran,Yes,Secondary school,Database administrator,16,4000000,Monthly,1140,32,18,Man,,48000000
full-time,Colombia,No,Masters degree ,Developer,30,5800000,Monthly,22524,40,45,Man,Hispanic,69600000
full-time,Spain,No,No degree,full-stack,32,2000,Monthly,27492,30,42,Man,White,24000
full-time,Germany,No,Bachelors degree,full-stack,15,4000,Monthly,54996,40,30,Man,White,48000
full-time,Greece,No,Masters degree ,Developer,20,4000,Monthly,54996,10,38,Man,White,48000
full-time,Serbia,Yes,Bachelors degree,Developer,10,2000,Monthly,27492,35,28,Man,White,24000
full-time,Uruguay,No,Masters degree ,full-stack,18,3200,Monthly,38400,40,37,Man,White,38400
full-time,United States,No,No degree,Developer,15,56160,Yearly,56160,40,38,Man,White,56160
full-time,South Africa,Yes,Bachelors degree,full-stack,10,72000,Monthly,64848,50,28,Man,White,864000
full-time,Italy,No,Bachelors degree,Developer,10,1200,Monthly,16500,40,32,Man,White,14400
full-time,India,Yes,Bachelors degree,Developer,9,18000,Monthly,3024,45,24,Man,Asian,216000
full-time,United Kingdom,No,Bachelors degree,Designer,5,35000,Yearly,45797,35,27,Man,White,35000
full-time,Philippines,No,Bachelors degree,full-stack,7,23000,Monthly,5280,40,22,Woman,Native,276000
full-time,Italy,No,Secondary school,Database administrator,30,1700,Monthly,23376,40,42,Man,Hispanic,20400
full-time,Austria,No,Bachelors degree,full-stack,25,75000,Yearly,85931,40,38,Man,White,75000
full-time,Germany,No,Professional degree,Designer,20,50000,Monthly,687444,,41,Man,Black,600000
full-time,United States,Yes,Bachelors degree,full-stack,3,83000,Yearly,83000,35,32,Man,White,83000
full-time,Ireland,No,No degree,Developer,20,79000,Yearly,90514,40,37,Man,White,79000
full-time,Australia,No,Bachelors degree,Database administrator,25,100000,Yearly,72530,40,34,Man,White,100000
full-time,Norway,No,Masters degree ,Developer,34,800000,Monthly,1000000,40,50,Man,White,9600000
full-time,Other Country (Not Listed Above),No,Masters degree ,full-stack,10,370000,Monthly,42636,39,33,Man,Multiracial,4440000
full-time,India,No,Bachelors degree,Developer,21,4400000,Yearly,61568,55,38,Man,,4400000
full-time,Germany,No,Masters degree ,Designer,16,51000,Yearly,58433,40,35,Man,White,51000
full-time,Netherlands,Yes,Bachelors degree,Database administrator,25,75000,Monthly,1000000,60,44,Man,White,900000
full-time,Argentina,No,Bachelors degree,Developer,16,74000,Monthly,23904,35,31,Man,Hispanic,888000
full-time,Spain,No,Professional degree,Developer,3,16000,Yearly,18332,40,22,Man,Hispanic,16000
part-time,Finland,Yes,Bachelors degree,Developer,3,1500,Monthly,20628,32,29,Man,White,18000
full-time,United States,No,No degree,Database administrator,22,200000,Yearly,200000,45,37,Man,Native,200000
full-time,Turkey,No,Bachelors degree,Developer,12,250000,Yearly,48000,45,31,Man,,250000
full-time,United States,No,Bachelors degree,Developer,8,77000,Yearly,77000,40,29,Man,White,77000
full-time,Germany,No,,Developer,13,1800,Monthly,24744,40,23,Man,White,21600
full-time,Israel,No,Secondary school,Developer,14,27000,Monthly,89076,45,27,Man,,324000
full-time,Switzerland,No,Masters degree ,Developer,20,6400,Monthly,77160,41.5,46,Man,White,76800
full-time,Singapore,No,Bachelors degree,Designer,14,7700,Monthly,68424,45,23,Man,Asian,92400
full-time,Argentina,No,No degree,Academic researcher,10,30000,Monthly,9684,75,39,Man,Hispanic,360000
part-time,United States,Yes,Bachelors degree,Data scientist or machine learning specialist,3,,Weekly,,40,21,Man,White,
full-time,Ukraine,Yes,No degree,Developer,10,80000,Monthly,34620,50,29,Man,White,960000
full-time,India,No,Bachelors degree,Developer,10,2200000,Yearly,30784,40,26,Man,,2200000
full-time,Germany,Yes,Masters degree ,Academic researcher,20,80000,Yearly,91660,45,36,Man,,80000
full-time,Canada,No,Secondary school,Designer,20,75338,Yearly,57512,40,36,Man,White,75338
full-time,France,No,Professional degree,Developer,15,50000,Yearly,57287,39,29,Man,White,50000
part-time,Australia,Yes,No degree,Data or business analyst,10,50000,Yearly,36265,12,19,Man,White,50000
full-time,Canada,No,Associate degree,Designer,19,65000,Yearly,49620,40,38,Man,White,65000
full-time,United Kingdom,No,Bachelors degree,Developer,5,32000,Yearly,41871,40,23,Man,,32000
full-time,Canada,No,Masters degree ,Academic researcher,34,8000,Monthly,73284,40,44,Man,Hispanic,96000
full-time,United States,No,Bachelors degree,Developer,10,105000,Yearly,105000,40,30,Man,White,105000
full-time,France,No,Masters degree ,Data scientist or machine learning specialist,10,35000,Yearly,40101,50,30,Man,White,35000
full-time,Netherlands,No,Bachelors degree,full-stack,20,5000,Monthly,68748,32,38,Man,White,60000
full-time,Slovenia,No,Masters degree ,full-stack,11,4000,Monthly,54996,38,24,Man,White,48000
full-time,United States,No,Bachelors degree,Developer,1,65000,Yearly,65000,40,27,Man,White,65000
full-time,Brazil,No,Bachelors degree,full-stack,8,5000,Monthly,16392,45,29,Man,Hispanic,60000
full-time,United States,No,No degree,full-stack,13,107000,Yearly,107000,50,31,Man,White,107000
